,key,DOCUMENTO,PROGRAMA,CICLO,ESTADO,PUNTOS,CREDITOS,PROMEDIO,TIPO_DOCUMENTO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
5062,d79353554136600a845688c4cec5df20,a1d4445d7623244cee88ac065473e7c6,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,138.50000000000003,45,3.0777777777777784,CC,M,REGULAR,21.0,SOLTERO,DESEMPLEADO,2.0,0,4.5583328000000005,-74.0966442,SAN CRISTOBAL
5063,5a9596c44219d04504278c727688c892,af330283dd3100437e8e04716d48adb9,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,59.6,15,3.9733333333333336,CC,M,REGULAR,21.0,SOLTERO,OTRO,2.0,0,7.8763282000000014,-72.48644200000003,SAN CRISTOBAL
5064,4e622937ab449b64603e4779cb4bbe62,98804f591877f8ea3a812fde084d4dc7,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,DESERTOR,25.9,17,1.5235294117647058,CC,M,REGULAR,21.0,SOLTERO,EMPLEADO,2.0,0,,,SAN CRISTOBAL
5065,87317215095df2d55e499954f9022c80,8bcefd625a59f1cbd102fad4945d72d2,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,74.2,24,3.091666666666667,CC,M,REGULAR,21.0,SOLTERO,DESEMPLEADO,1.0,0,,,CIUDAD BOLIVAR
5066,1322b372c5757a0dc6acc886e8e57b7a,b66922e18429d1e2336a04477d234487,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,DESERTOR,164.29999999999998,52,3.1596153846153845,CC,M,,34.0,SOLTERO,,1.0,0,,,
5067,75a278f846fb505157953068cb4bdad2,b66922e18429d1e2336a04477d234487,TECNICO PROFESIONAL EN PROCESOS INDUSTRIALES,TECNICO,DESERTOR,175.00000000000003,58,3.017241379310345,CC,M,,34.0,SOLTERO,,1.0,0,,,
5068,a502e1190d61a26aaca7f763b083896f,b66922e18429d1e2336a04477d234487,TECNOLOGIA EN PRODUCCION INDUSTRIAL,TECNOLOGIA,ACTIVO,52.2,14,3.7285714285714286,CC,M,,34.0,SOLTERO,,1.0,0,,,
5069,add2b68c190ce7a8952857afd23de18a,64620c64bafc76696be43796b5359263,TECNOLOGIA EN PROCESOS INDUSTRIALES,TECNOLOGIA,GRADUADO,90.9,22,4.131818181818182,CC,F,,34.0,SOLTERO,,2.0,0,4.6530581,-74.0864509,TEUSAQUILLO
5070,5a633827201f1718456afb3b3882e3ca,06e82c840db2bd7d7e2cd47830997b0a,TECNICO PROFESIONAL EN DISENO DE MAQUINAS,TECNICO,DESERTOR,99.4,56,1.7750000000000001,CC,M,,34.0,SOLTERO,,1.0,0,,,
5071,ad084dcb47fad346789eab293b5930e0,c1e12ac593865199f3e23716324d0bd7,ESPECIALIZACION TECNICA PROFESIONAL EN CONSTRUCCION DE REDES DE DISTRIBUCION DE ENERGIA ELECTRICA DE MEDIA TENSION,ESPECIALIZACION,GRADUADO,97.5,25,3.9,CC,M,REGULAR,34.0,UNION LIBRE,,1.0,0,4.6290512,-74.089647,TEUSAQUILLO
5072,503979d1081147ed460e3fea4e4c7cf3,c1e12ac593865199f3e23716324d0bd7,INGENIERIA ELECTROMECANICA,PROFESIONAL,ACTIVO,162.90000000000003,53,3.073584905660378,CC,M,REGULAR,34.0,UNION LIBRE,,1.0,0,4.6290512,-74.089647,TEUSAQUILLO
5073,5fc3a64d0abeed34fcf5a976f4ada2ce,c1e12ac593865199f3e23716324d0bd7,TECNOLOGIA EN ELECTROMECANICA,TECNOLOGIA,GRADUADO,118.2,33,3.581818181818182,CC,M,REGULAR,34.0,UNION LIBRE,,1.0,0,4.6290512,-74.089647,TEUSAQUILLO
5074,32b131fdf5098133c6ed9c09dd409e34,57a1b29296a265c5d64963262e32bf14,TECNICO PROFESIONAL EN ELECTROMECANICA,TECNICO,DESERTOR,208.0,60,3.466666666666667,CC,M,REGULAR,34.0,UNION LIBRE,,2.0,0,,,
