key,PROGRAMA,CICLO,ESTADO,CREDITOS,PROMEDIO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
MTAwMDE2MDc1NyB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,ACTIVO,17,3.8805882352941174,M,REGULAR,18,SOLTERO,DESEMPLEADO,2,0,4.6287037,-74.0678895,KENNEDY
MTAwMDE2MDg2NCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,18,1.7577777777777779,M,REGULAR,18,SOLTERO,DESEMPLEADO,3,0,4.582385,-74.15381909999998,PUENTE ARANDA
MTAwMDE2MTExNiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,14,4.156428571428571,M,REGULAR,17,SOLTERO,OTRO,2,0,4.7027934999999985,-74.09807020000002,KENNEDY
MTAwMDE2MTc3MSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,18,1.2774444444444444,M,REGULAR,21,SOLTERO,DESEMPLEADO,2,0,,,KENNEDY
MTAwMDE2MzU1MSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,73,3.764602739726027,M,REGULAR,19,SOLTERO,DESEMPLEADO,3,0,,,KENNEDY
MTAwMDE2MzkwMiB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,ACTIVO,66,4.177227272727273,M,REGULAR,19,SOLTERO,EMPLEADO,2,0,,,CIUDAD BOLIVAR
MTAwMDE3OTQ5MyB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,77,4.02512987012987,M,REGULAR,20,SOLTERO,DESEMPLEADO,3,0,4.7650484,-74.0523193,SUBA
MTAwMDE4MjA4NyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,21,2.739523809523809,M,REGULAR,18,SOLTERO,DESEMPLEADO,2,0,4.7467545,-74.0632809,SUBA
MTAwMDE4Mjg4OSB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,ACTIVO,17,2.78,M,REGULAR,19,SOLTERO,DESEMPLEADO,3,0,4.710515900000001,-74.1132724,SUBA
MTAwMDIxNDU5NyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,33,3.4724242424242417,M,REGULAR,18,SOLTERO,EMPLEADO,2,1,4.60064,-74.06950400000002,BOSA
MTAwMDIxNTMxMiB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,15,4.111999999999999,F,REGULAR,18,SOLTERO,INDEPENDIENTE,3,0,4.7636595,-74.0398301,RAFAEL URIBE
MTAwMDIxNTU2MiB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,15,4.292666666666666,M,REGULAR,18,SOLTERO,DESEMPLEADO,3,0,,,ANTONIO NARINO
MTAwMDIxNjU5MCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,ACTIVO,16,3.321,M,REGULAR,17,SOLTERO,DESEMPLEADO,2,0,4.6397651,-74.06849129999998,BOSA
MTAwMDIxODA3MiB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,ACTIVO,17,4.234823529411765,M,REGULAR,18,SOLTERO,INDEPENDIENTE,1,0,4.6572513,-74.1076016,KENNEDY
MTAwMDIxODk2NyB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,15,4.680199999999999,M,REGULAR,18,SOLTERO,EMPLEADO,2,0,,,ENGATIVA
MTAwMDIxOTAxNyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,ACTIVO,47,3.6204255319148944,M,REGULAR,18,SOLTERO,DESEMPLEADO,2,0,7.8769797000000015,-72.4853375,KENNEDY
MTAwMDIyNDE4MCB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,31,3.528064516129032,M,REGULAR,18,SOLTERO,DESEMPLEADO,2,1,4.6499905,-74.159174,KENNEDY
MTAwMDIyNDcxMSB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,15,3.9123333333333337,M,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,4.5989617,-74.0979324,LOS MARTIRES
MTAwMDIyNTE5NiB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,15,4.311333333333333,F,REGULAR,18,SOLTERO,DESEMPLEADO,1,0,4.7235429,-74.0917303,BOSA
MTAwMDIyNjkyOCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,18,3.880555555555555,M,REGULAR,18,SOLTERO,EMPLEADO,2,0,4.5876149,-74.07270770000002,KENNEDY
MTAwMDIzNTc5NCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,14,1.6757142857142857,M,REGULAR,22,SOLTERO,INDEPENDIENTE,1,0,,,CIUDAD BOLIVAR
MTAwMDIzOTQwOCB8IFRFQ05PTE9HSUEgRU4gTU9OVEFKRVMgSU5EVVNUUklBTEVT,TECNOLOGIA EN MONTAJES INDUSTRIALES,TECNOLOGIA,ACTIVO,15,3.8426666666666662,M,REGULAR,20,SOLTERO,DESEMPLEADO,1,0,4.7583626,-74.0486367,SUBA
MTAwMDI0MDQ2NSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,14,1.985714285714286,M,REGULAR,17,SOLTERO,INDEPENDIENTE,3,0,4.7041483,-74.1045903,ENGATIVA
MTAwMDI0OTIyOSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,93,3.196838709677419,M,REGULAR,20,SOLTERO,,3,0,,,TUNJUELITO
MTAwMDI0OTUwNSB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,29,3.0737241379310345,M,REGULAR,20,SOLTERO,DESEMPLEADO,3,0,4.6321538,-74.0572361,KENNEDY
MTAwMDI1NDExMCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,41,3.11829268292683,M,REGULAR,24,,EMPLEADO,1,0,,,CIUDAD BOLIVAR
MTAwMDI1NDg2MiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,ACTIVO,14,4.215,M,REGULAR,18,SOLTERO,DESEMPLEADO,3,0,4.6717862,-74.09854940000002,ENGATIVA
MTAwMDI1NDkxMSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,ACTIVO,16,4.225,F,REGULAR,18,SOLTERO,EMPLEADO,2,0,4.690455,-74.15759059999998,SUBA
MTAwMDI1NTg0OSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,17,3.538235294117647,M,REGULAR,18,SOLTERO,INDEPENDIENTE,2,0,4.599309099999998,-74.2005296,RAFAEL URIBE
MTAwMDI1NTg2MyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,17,3.7511764705882356,M,REGULAR,17,SOLTERO,EMPLEADO,2,0,,,TUNJUELITO
MTAwMDI1NjIwNiB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,15,4.048,M,REGULAR,17,SOLTERO,INDEPENDIENTE,2,0,4.6948885,-74.121993,BOSA
MTAwMDI2OTY1OSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,14,3.089285714285715,M,REGULAR,20,SOLTERO,DESEMPLEADO,3,0,4.7207715,-74.1435291,ENGATIVA
MTAwMDI3MjQ2NSB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,31,4.0845161290322585,F,REGULAR,17,SOLTERO,EMPLEADO,2,0,4.757184099999999,-74.1160359,SUBA
MTAwMDI3MzU3MSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,ACTIVO,16,4.039999999999999,M,REGULAR,17,SOLTERO,EMPLEADO,2,0,,,MUNICIPIO ALEDANO
